CUSTOMER_ID,CUSTOMER_NAME,EMAIL,PHONE_NUMBER,STREET,CITY,COUNTRY,POST_CODE,LOYALTY_CARD,ORDER_ID,ORDER_DATE,PRODUCT_ID,QUANTITY,COFFEE_TYPE,ROAST_TYPE,SIZE,UNIT_PRICE,PRICE_PER_100G,PROFIT
76239-90137-UQ,Ferrell Ferber,fferbera@businesswire.com,+1 (408) 383-5302,68 High Crossing Court,San Jose,United States,95160,No,BKK-47233-845,3/8/2021,A-D-1,4,Ara,D,1,9.95,0.995,0.8955
49315-21985-BB,Duky Phizackerly,dphizackerlyb@utexas.edu,+1 (408) 533-6012,28643 Bluejay Crossing,San Jose,United States,95194,Yes,VQR-01002-970,10/28/2020,E-L-2.5,5,Exc,L,2.5,34.155,1.3662,3.75705
34136-36674-OM,Rosaleen Scholar,rscholarc@nyu.edu,+1 (804) 420-0420,80915 Montana Park,Richmond,United States,23285,No,SZW-48378-399,7/2/2022,R-M-1,5,Rob,M,1,9.95,0.995,0.597
39396-12890-PE,Terence Vanyutin,tvanyutind@wix.com,,331 Bunting Hill,Migrate,United States,41905,No,ITA-87418-783,5/22/2020,R-D-2.5,2,Rob,D,2.5,20.585,0.8234,1.2351
95875-73336-RG,Patrice Trobe,ptrobee@wunderground.com,+1 (314) 240-7896,827 Declaration Plaza,Saint Louis,United States,63131,Yes,GNZ-46006-527,4/5/2022,L-D-0.2,3,Lib,D,0.2,3.885,1.9425,0.50505
25473-43727-BY,Llywellyn Oscroft,loscroftf@ebay.co.uk,,022 Roth Place,Philadelphia,United States,19172,No,FYQ-78248-319,6/7/2022,R-M-2.5,5,Rob,M,2.5,22.885,0.9154,1.3731
99643-51048-IQ,Minni Alabaster,malabasterg@hexun.com,+1 (971) 483-6255,3 Charing Cross Trail,Portland,United States,97271,No,VAU-44387-624,3/20/2019,A-M-0.2,6,Ara,M,0.2,3.375,1.6875,0.30375
62173-15287-CU,Rhianon Broxup,rbroxuph@jimdo.com,+1 (713) 663-1338,83517 Thierer Court,Houston,United States,77240,No,RDW-33155-159,10/19/2019,A-L-1,6,Ara,L,1,12.95,1.295,1.1655
57611-05522-ST,Pall Redford,predfordi@ow.ly,,7337 Hayes Junction,Caherconlish,Ireland,F45,Yes,TDZ-59011-211,6/13/2019,R-D-2.5,4,Rob,D,2.5,20.585,0.8234,1.2351
76664-37050-DT,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,United States,10060,Yes,IDU-25793-399,12/4/2020,A-M-0.2,5,Ara,M,0.2,3.375,1.6875,0.30375
76664-37050-DT,Aurea Corradino,acorradinoj@harvard.edu,+1 (646) 202-5965,698 Canary Terrace,New York City,United States,10060,Yes,IDU-25793-399,12/4/2020,E-D-0.2,4,Exc,D,0.2,3.645,1.8225,0.40095
03090-88267-BQ,Avrit Davidowsky,adavidowskyl@netvibes.com,+1 (616) 481-9962,9 Warrior Junction,Grand Rapids,United States,49560,No,NUO-20013-488,12/4/2020,A-D-0.2,6,Ara,D,0.2,2.985,1.4925,0.26865
37651-47492-NC,Annabel Antuk,aantukm@kickstarter.com,+1 (941) 740-6268,77965 Lawn Park,Punta Gorda,United States,33982,Yes,UQU-65630-479,1/22/2021,R-M-2.5,4,Rob,M,2.5,22.885,0.9154,1.3731
95399-57205-HI,Iorgo Kleinert,ikleinertn@timesonline.co.uk,+1 (360) 352-6598,1 Morningstar Lane,Vancouver,United States,98682,Yes,FEO-11834-332,2/11/2022,A-D-0.2,4,Ara,D,0.2,2.985,1.4925,0.26865
24010-66714-HW,Chrisy Blofeld,cblofeldo@amazon.co.uk,+1 (303) 936-3357,013 Talisman Terrace,Englewood,United States,80150,No,TKY-71558-096,9/15/2021,A-M-1,1,Ara,M,1,11.25,1.125,1.0125
07591-92789-UA,Culley Farris,,+1 (941) 267-4822,4 Mitchell Drive,Punta Gorda,United States,33982,Yes,OXY-65322-253,10/24/2020,E-M-0.2,3,Exc,M,0.2,4.125,2.0625,0.45375
49231-44455-IC,Selene Shales,sshalesq@umich.edu,+1 (707) 881-5004,74 Bultman Plaza,Petaluma,United States,94975,Yes,EVP-43500-491,2/20/2019,A-M-0.5,4,Ara,M,0.5,6.75,1.35,0.6075
50124-88608-EO,Vivie Danneil,vdanneilr@mtv.com,+353 (751) 346-0399,5626 Darwin Avenue,Tralee,Ireland,V92,No,WAG-26945-689,10/8/2019,A-M-0.2,5,Ara,M,0.2,3.375,1.6875,0.30375
00888-74814-UZ,Theresita Newbury,tnewburys@usda.gov,+353 (803) 587-0026,79526 Bultman Lane,Clonskeagh,Ireland,D04,No,CHE-78995-767,8/2/2022,A-D-0.5,3,Ara,D,0.5,5.97,1.194,0.5373
14158-30713-OB,Mozelle Calcutt,mcalcuttt@baidu.com,+353 (928) 869-1762,4389 Russell Way,Rathwire,Ireland,Y25,Yes,RYZ-14633-602,2/20/2019,A-D-1,4,Ara,D,1,9.95,0.995,0.8955
51427-89175-QJ,Adrian Swaine,,+1 (303) 486-9517,95 Straubel Hill,Aurora,United States,80044,No,WOQ-36015-429,9/25/2021,L-M-0.2,5,Lib,M,0.2,4.365,2.1825,0.56745
51427-89175-QJ,Adrian Swaine,,+1 (303) 486-9517,95 Straubel Hill,Aurora,United States,80044,No,WOQ-36015-429,9/25/2021,A-D-0.5,6,Ara,D,0.5,5.97,1.194,0.5373
51427-89175-QJ,Adrian Swaine,,+1 (303) 486-9517,95 Straubel Hill,Aurora,United States,80044,No,WOQ-36015-429,9/25/2021,L-M-0.5,6,Lib,M,0.5,8.73,1.746,1.1349
39123-12846-YJ,Gallard Gatheral,ggatheralx@123-reg.co.uk,,40 Clemons Place,Grand Forks,United States,58207,No,SCT-60553-454,7/17/2021,L-L-0.2,5,Lib,L,0.2,4.755,2.3775,0.61815
44981-99666-XB,Una Welberry,uwelberryy@ebay.co.uk,+44 (392) 503-8132,40915 Schlimgen Park,Upton,United Kingdom,DN21,Yes,GFK-52063-244,6/29/2020,L-L-0.5,6,Lib,L,0.5,9.51,1.902,1.2363
24825-51803-CQ,Faber Eilhart,feilhartz@who.int,+1 (304) 510-6095,6966 Victoria Street,Charleston,United States,25362,No,AMM-79521-378,6/1/2021,A-D-0.5,6,Ara,D,0.5,5.97,1.194,0.5373
77634-13918-GJ,Zorina Ponting,zponting10@altervista.org,+1 (501) 172-1476,7118 Holmberg Court,Little Rock,United States,72204,No,QUQ-90580-772,2/6/2021,L-M-0.2,2,Lib,M,0.2,4.365,2.1825,0.56745
13694-25001-LX,Silvio Strase,sstrase11@booking.com,+1 (303) 579-8015,5 Forest Lane,Denver,United States,80291,No,LGD-24408-274,4/25/2019,L-L-0.5,3,Lib,L,0.5,9.51,1.902,1.2363
08523-01791-TI,Dorie de la Tremoille,dde12@unesco.org,+1 (612) 492-5160,0817 Dennis Street,Minneapolis,United States,55458,No,HCT-95608-959,4/25/2020,R-M-2.5,5,Rob,M,2.5,22.885,0.9154,1.3731
49860-68865-AB,Hy Zanetto,,,469 Paget Place,Tucson,United States,85715,Yes,OFX-99147-470,11/24/2021,R-M-1,6,Rob,M,1,9.95,0.995,0.597
21240-83132-SP,Jessica McNess,,+1 (504) 545-1478,664 Erie Place,New Orleans,United States,70116,No,LUO-37559-016,4/19/2021,L-M-1,3,Lib,M,1,14.55,1.455,1.8915
08350-81623-TF,Lorenzo Yeoland,lyeoland15@pbs.org,+1 (860) 576-2887,8510 Merrick Road,Hartford,United States,6183,Yes,XWC-20610-167,7/7/2022,E-D-0.2,2,Exc,D,0.2,3.645,1.8225,0.40095
73284-01385-SJ,Abigail Tolworthy,atolworthy16@toplist.cz,+1 (801) 722-4425,74 Shopko Way,Ogden,United States,84409,Yes,GPU-79113-136,5/22/2019,R-D-0.2,3,Rob,D,0.2,2.685,1.3425,0.1611
04152-34436-IE,Maurie Bartol,,+1 (617) 493-7594,7625 Starling Court,Boston,United States,2216,No,ULR-52653-960,10/4/2021,L-L-2.5,2,Lib,L,2.5,36.455,1.4582,4.73915
06631-86965-XP,Olag Baudassi,obaudassi18@seesaa.net,+1 (585) 356-6251,55 Dottie Court,Rochester,United States,14604,Yes,HPI-42308-142,4/11/2020,E-M-0.5,2,Exc,M,0.5,8.25,1.65,0.9075
54619-08558-ZU,Petey Kingsbury,pkingsbury19@comcast.net,+1 (917) 705-8224,28 Loftsgordon Place,Bronx,United States,10469,No,XHI-30227-581,1/31/2022,L-D-2.5,6,Lib,D,2.5,29.785,1.1914,3.87205
85589-17020-CX,Donna Baskeyfied,,+1 (205) 923-1460,7586 Logan Avenue,Birmingham,United States,35205,Yes,DJH-05202-380,11/7/2019,E-M-2.5,2,Exc,M,2.5,31.625,1.265,3.47875
36078-91009-WU,Arda Curley,acurley1b@hao123.com,+1 (760) 840-3808,45098 Scott Drive,San Bernardino,United States,92415,Yes,VMW-26889-781,6/28/2019,A-L-0.2,2,Ara,L,0.2,3.885,1.9425,0.34965
15770-27099-GX,Raynor McGilvary,rmcgilvary1c@tamu.edu,,496 Rockefeller Court,Norfolk,United States,23514,No,DBU-81099-586,9/11/2020,A-D-2.5,4,Ara,D,2.5,22.885,0.9154,2.05965
91460-04823-BX,Isis Pikett,ipikett1d@xinhuanet.com,+1 (202) 871-9039,5892 Hauk Drive,Washington,United States,20409,No,PQA-54820-810,8/17/2022,A-L-1,3,Ara,L,1,12.95,1.295,1.1655
45089-52817-WN,Inger Bouldon,ibouldon1e@gizmodo.com,+1 (754) 391-4736,925 Barby Circle,Fort Lauderdale,United States,33355,No,XKB-41924-202,8/19/2022,L-D-0.5,2,Lib,D,0.5,7.77,1.554,1.0101
76447-50326-IC,Karry Flanders,kflanders1f@over-blog.com,+353 (467) 720-7274,88 Blue Bill Park Avenue,Crumlin,Ireland,D6W,Yes,DWZ-69106-473,5/15/2019,L-L-2.5,4,Lib,L,2.5,36.455,1.4582,4.73915
26333-67911-OL,Hartley Mattioli,hmattioli1g@webmd.com,,126 Valley Edge Street,Kinloch,United Kingdom,PH43,No,YHV-68700-050,9/11/2019,R-M-0.5,5,Rob,M,0.5,5.97,1.194,0.3582
26333-67911-OL,Hartley Mattioli,hmattioli1g@webmd.com,,126 Valley Edge Street,Kinloch,United Kingdom,PH43,No,YHV-68700-050,9/11/2019,L-L-2.5,2,Lib,L,2.5,36.455,1.4582,4.73915
22107-86640-SB,Archambault Gillard,agillard1i@issuu.com,+1 (419) 663-2236,97490 Susan Avenue,Toledo,United States,43666,No,KRB-88066-642,3/16/2021,L-M-1,5,Lib,M,1,14.55,1.455,1.8915
09960-34242-LZ,Salomo Cushworth,,+1 (609) 409-7044,44 Oneill Parkway,Trenton,United States,8650,No,LQU-08404-173,12/3/2020,L-L-1,3,Lib,L,1,15.85,1.585,2.0605
04671-85591-RT,Theda Grizard,tgrizard1k@odnoklassniki.ru,+1 (813) 243-2150,6 Knutson Pass,Tampa,United States,33686,Yes,CWK-60159-881,1/27/2020,E-D-0.2,3,Exc,D,0.2,3.645,1.8225,0.40095
25729-68859-UA,Rozele Relton,rrelton1l@stanford.edu,+1 (850) 626-1181,2484 Reindahl Court,Pensacola,United States,32590,No,EEG-74197-843,7/17/2022,E-L-1,4,Exc,L,1,14.85,1.485,1.6335
05501-86351-NX,Willa Rolling,,+1 (813) 759-3534,3 Mockingbird Plaza,Zephyrhills,United States,33543,Yes,UCZ-59708-525,3/4/2022,L-D-2.5,3,Lib,D,2.5,29.785,1.1914,3.87205
04521-04300-OK,Stanislaus Gilroy,sgilroy1n@eepurl.com,,9120 Harbort Terrace,Saint Paul,United States,55123,Yes,HUB-47311-849,12/7/2021,L-M-0.5,3,Lib,M,0.5,8.73,1.746,1.1349
58689-55264-VK,Correy Cottingham,ccottingham1o@wikipedia.org,+1 (260) 764-1820,394 Logan Road,Fort Wayne,United States,46862,No,WYM-17686-694,2/25/2021,A-D-2.5,5,Ara,D,2.5,22.885,0.9154,2.05965
79436-73011-MM,Pammi Endacott,,+44 (177) 260-5076,5841 Atwood Lane,Wootton,United Kingdom,NN4,Yes,ZYQ-15797-695,2/25/2019,R-D-0.5,5,Rob,D,0.5,5.37,1.074,0.3222
65552-60476-KY,Nona Linklater,,+1 (239) 347-9766,856 Bonner Parkway,Naples,United States,34114,Yes,EEJ-16185-108,2/9/2019,L-L-0.2,5,Lib,L,0.2,4.755,2.3775,0.61815
69904-02729-YS,Annadiane Dykes,adykes1r@eventbrite.com,+1 (312) 111-6203,31 Northport Terrace,Chicago,United States,60681,No,RWR-77888-800,2/7/2020,A-M-0.5,1,Ara,M,0.5,6.75,1.35,0.6075
01433-04270-AX,Felecia Dodgson,,+1 (973) 434-8662,48053 8th Crossing,Newark,United States,7104,Yes,LHN-75209-742,3/23/2020,R-M-0.5,6,Rob,M,0.5,5.97,1.194,0.3582
14204-14186-LA,Angelia Cockrem,acockrem1t@engadget.com,+1 (571) 316-8217,1 Sherman Alley,Vienna,United States,22184,Yes,TIR-71396-998,3/6/2022,R-D-2.5,4,Rob,D,2.5,20.585,0.8234,1.2351
32948-34398-HC,Belvia Umpleby,bumpleby1u@soundcloud.com,+1 (682) 627-0888,710 Prairie Rose Terrace,Fort Worth,United States,76178,Yes,RXF-37618-213,4/15/2022,R-L-0.5,1,Rob,L,0.5,7.17,1.434,0.4302
77343-52608-FF,Nat Saleway,nsaleway1v@dedecms.com,+1 (323) 473-0294,0780 Anthes Plaza,Burbank,United States,91505,No,ANM-16388-634,11/19/2021,L-L-0.2,2,Lib,L,0.2,4.755,2.3775,0.61815
42770-36274-QA,Hayward Goulter,hgoulter1w@abc.net.au,+1 (423) 764-7751,2081 Mariners Cove Drive,Kingsport,United States,37665,No,WYL-29300-070,10/16/2019,R-M-0.2,1,Rob,M,0.2,2.985,1.4925,0.1791
14103-58987-ZU,Gay Rizzello,grizzello1x@symantec.com,+44 (247) 225-8003,21 Schmedeman Crossing,Liverpool,United Kingdom,L33,Yes,JHW-74554-805,11/26/2019,R-M-1,6,Rob,M,1,9.95,0.995,0.597
69958-32065-SW,Shannon List,slist1y@mapquest.com,+1 (614) 279-9816,7123 Algoma Center,Columbus,United States,43231,No,KYS-27063-603,6/30/2019,E-L-2.5,4,Exc,L,2.5,34.155,1.3662,3.75705
69533-84907-FA,Shirlene Edmondson,sedmondson1z@theguardian.com,+353 (248) 428-7978,4752 International Point,Newmarket on Fergus,Ireland,P17,No,GAZ-58626-277,1/4/2021,L-L-0.2,2,Lib,L,0.2,4.755,2.3775,0.61815
76005-95461-CI,Aurlie McCarl,,+1 (504) 209-2724,731 David Park,New Orleans,United States,70183,No,RPJ-37787-335,10/27/2020,A-M-2.5,3,Ara,M,2.5,25.875,1.035,2.32875
15395-90855-VB,Alikee Carryer,,+1 (704) 799-5219,247 Helena Drive,Charlotte,United States,28230,Yes,LEF-83057-763,6/15/2021,L-M-0.2,5,Lib,M,0.2,4.365,2.1825,0.56745
80640-45811-LB,Jennifer Rangall,jrangall22@newsvine.com,+1 (781) 512-6637,0 Grasskamp Lane,Springfield,United States,1114,Yes,RPW-36123-215,7/19/2021,E-L-0.5,2,Exc,L,0.5,8.91,1.782,0.9801
28476-04082-GR,Kipper Boorn,kboorn23@ezinearticles.com,+353 (359) 134-1550,9513 Meadow Ridge Parkway,Listowel,Ireland,V31,Yes,WLL-59044-117,7/23/2021,R-D-1,6,Rob,D,1,8.95,0.895,0.537
12018-75670-EU,Melania Beadle,,+353 (569) 458-9673,4418 Quincy Terrace,Moycullen,Ireland,A41,Yes,AWT-22827-563,1/25/2020,R-L-0.2,1,Rob,L,0.2,3.585,1.7925,0.2151
86437-17399-FK,Colene Elgey,celgey25@webs.com,+1 (432) 261-0702,45 Marcy Crossing,Midland,United States,79705,No,QLM-07145-668,5/9/2019,E-D-0.2,2,Exc,D,0.2,3.645,1.8225,0.40095
62979-53167-ML,Lothaire Mizzi,lmizzi26@rakuten.co.jp,+1 (214) 719-8530,74 Atwood Lane,Dallas,United States,75323,Yes,HVQ-64398-930,3/30/2020,A-M-0.5,6,Ara,M,0.5,6.75,1.35,0.6075
54810-81899-HL,Cletis Giacomazzo,cgiacomazzo27@jigsy.com,+1 (571) 703-2064,817 Ridgeway Hill,Dulles,United States,20189,No,WRT-40778-247,3/13/2022,R-L-1,4,Rob,L,1,11.95,1.195,0.717
26103-41504-IB,Ami Arnow,aarnow28@arizona.edu,+1 (650) 238-1964,12 Oakridge Court,Oakland,United States,94627,Yes,SUB-13006-125,4/17/2019,A-L-0.5,5,Ara,L,0.5,7.77,1.554,0.6993
76534-45229-SG,Sheppard Yann,syann29@senate.gov,+1 (719) 803-5276,4 Farmco Place,Colorado Springs,United States,80930,Yes,CQM-49696-263,10/25/2019,L-L-2.5,3,Lib,L,2.5,36.455,1.4582,4.73915
81744-27332-RR,Bunny Naulls,bnaulls2a@tiny.cc,+353 (809) 128-0755,595 Melby Avenue,Adare,Ireland,H54,Yes,KXN-85094-246,9/13/2019,L-M-2.5,3,Lib,M,2.5,33.465,1.3386,4.35045
91513-75657-PH,Hally Lorait,,+1 (716) 869-3749,80 Jana Avenue,Buffalo,United States,14205,Yes,XOQ-12405-419,4/12/2020,R-D-2.5,4,Rob,D,2.5,20.585,0.8234,1.2351
30373-66619-CB,Zaccaria Sherewood,zsherewood2c@apache.org,+1 (209) 433-7924,1325 Jay Terrace,Fresno,United States,93715,No,HYF-10254-369,11/14/2019,L-L-0.5,1,Lib,L,0.5,9.51,1.902,1.2363
31582-23562-FM,Jeffrey Dufaire,jdufaire2d@fc2.com,,8 Buell Junction,Fort Worth,United States,76121,No,XXJ-47000-307,7/18/2019,A-L-2.5,3,Ara,L,2.5,29.785,1.1914,2.68065
31582-23562-FM,Jeffrey Dufaire,jdufaire2d@fc2.com,,8 Buell Junction,Fort Worth,United States,76121,No,XXJ-47000-307,7/18/2019,A-D-0.2,4,Ara,D,0.2,2.985,1.4925,0.26865
58638-01029-CB,Blancha McAmish,bmcamish2e@tripadvisor.com,,5484 Stephen Court,Oklahoma City,United States,73179,Yes,ZFS-30776-804,2/5/2021,A-L-0.5,5,Ara,L,0.5,7.77,1.554,0.6993
81431-12577-VD,Beitris Keaveney,bkeaveney2f@netlog.com,,67319 Redwing Parkway,Beaumont,United States,77705,No,ZDK-82166-357,4/3/2021,A-M-1,3,Ara,M,1,11.25,1.125,1.0125
68894-91205-MP,Elna Grise,egrise2g@cargocollective.com,,92 Becker Circle,Reno,United States,89519,No,IHN-19982-362,3/29/2021,R-L-1,3,Rob,L,1,11.95,1.195,0.717
87602-55754-VN,Torie Gottelier,tgottelier2h@vistaprint.com,+1 (816) 743-8492,426 Division Avenue,Kansas City,United States,64136,No,VMT-10030-889,12/15/2021,A-L-1,6,Ara,L,1,12.95,1.295,1.1655
39181-35745-WH,Loydie Langlais,,+353 (576) 222-5069,290 Ilene Street,Crumlin,Ireland,D6W,Yes,NHL-11063-100,5/20/2020,A-L-1,4,Ara,L,1,12.95,1.295,1.1655
30381-64762-NG,Adham Greenhead,agreenhead2j@dailymail.co.uk,+1 (951) 797-0738,0062 Spenser Place,Corona,United States,92878,No,ROV-87448-086,11/2/2020,A-M-2.5,4,Ara,M,2.5,25.875,1.035,2.32875
17503-27693-ZH,Hamish MacSherry,,+1 (512) 430-4374,7 Brentwood Plaza,Austin,United States,78759,Yes,DGY-35773-612,7/25/2020,E-L-1,3,Exc,L,1,14.85,1.485,1.6335
89442-35633-HJ,Else Langcaster,elangcaster2l@spotify.com,+44 (547) 590-3103,3658 Jenna Street,Normanton,United Kingdom,LE15,Yes,YWH-50638-556,3/14/2019,E-L-0.5,4,Exc,L,0.5,8.91,1.782,0.9801
13654-85265-IL,Rudy Farquharson,,,30178 Claremont Road,Charlesland,Ireland,A63,Yes,ISL-11200-600,7/2/2020,A-D-0.2,6,Ara,D,0.2,2.985,1.4925,0.26865
40946-22090-FP,Norene Magauran,nmagauran2n@51.la,,567 Artisan Place,Fresno,United States,93762,No,LBZ-75997-047,12/17/2019,A-M-2.5,6,Ara,M,2.5,25.875,1.035,2.32875
29050-93691-TS,Vicki Kirdsch,vkirdsch2o@google.fr,,0263 Golf Street,Saint Louis,United States,63150,No,EUH-08089-954,12/6/2020,A-D-0.2,2,Ara,D,0.2,2.985,1.4925,0.26865
64395-74865-WF,Ilysa Whapple,iwhapple2p@com.com,+1 (559) 522-1152,41598 Everett Drive,Fresno,United States,93726,No,BLD-12227-251,3/4/2021,A-M-0.5,2,Ara,M,0.5,6.75,1.35,0.6075
81861-66046-SU,Ruy Cancellieri,,+353 (338) 743-8327,251 Welch Parkway,Confey,Ireland,A86,No,OPY-30711-853,7/17/2021,A-D-0.2,1,Ara,D,0.2,2.985,1.4925,0.26865
13366-78506-KP,Aube Follett,,+1 (614) 370-6392,8671 David Park,Columbus,United States,43210,Yes,DBC-44122-300,11/4/2020,L-M-0.2,3,Lib,M,0.2,4.365,2.1825,0.56745
08847-29858-HN,Rudiger Di Bartolomeo,,+1 (209) 148-6668,7700 Melby Park,Stockton,United States,95205,Yes,FJQ-60035-234,4/5/2021,A-L-0.2,2,Ara,L,0.2,3.885,1.9425,0.34965
00539-42510-RY,Nickey Youles,nyoules2t@reference.com,+353 (641) 846-7654,12461 Dryden Pass,Edgeworthstown,Ireland,E25,Yes,HSF-66926-425,3/1/2020,L-D-2.5,5,Lib,D,2.5,29.785,1.1914,3.87205
45190-08727-NV,Dyanna Aizikovitz,daizikovitz2u@answers.com,+353 (766) 141-6317,7 Northland Court,Leixlip,Ireland,A86,Yes,LQG-41416-375,10/19/2021,L-D-1,3,Lib,D,1,12.95,1.295,1.6835
87049-37901-FU,Bram Revel,brevel2v@fastcompany.com,+1 (585) 775-6952,6168 Westend Plaza,Rochester,United States,14652,No,VZO-97265-841,7/8/2022,R-M-0.2,4,Rob,M,0.2,2.985,1.4925,0.1791
34015-31593-JC,Emiline Priddis,epriddis2w@nationalgeographic.com,+1 (205) 133-0205,62 Amoth Terrace,Tuscaloosa,United States,35487,No,MOR-12987-399,8/17/2019,L-M-1,6,Lib,M,1,14.55,1.455,1.8915
90305-50099-SV,Queenie Veel,qveel2x@jugem.jp,+1 (713) 750-9202,378 Shopko Center,Houston,United States,77260,Yes,UOA-23786-489,5/31/2020,A-M-0.5,6,Ara,M,0.5,6.75,1.35,0.6075
55871-61935-MF,Lind Conyers,lconyers2y@twitter.com,+1 (915) 476-5712,778 Summer Ridge Junction,El Paso,United States,88514,No,AJL-52941-018,5/5/2020,E-D-1,2,Exc,D,1,12.15,1.215,1.3365
15405-60469-TM,Pen Wye,pwye2z@dagondesign.com,+1 (719) 620-1128,7 Dorton Terrace,Colorado Springs,United States,80935,Yes,XSZ-84273-421,4/14/2019,R-M-0.5,3,Rob,M,0.5,5.97,1.194,0.3582
06953-94794-FB,Isahella Hagland,,+1 (260) 613-2279,07 Roxbury Street,Fort Wayne,United States,46862,No,NUN-48214-216,7/29/2020,A-M-0.5,4,Ara,M,0.5,6.75,1.35,0.6075
22305-40299-CY,Terry Sheryn,tsheryn31@mtv.com,+1 (516) 826-3780,58147 Eagle Crest Court,Port Washington,United States,11054,Yes,AKV-93064-769,12/12/2019,L-D-0.5,1,Lib,D,0.5,7.77,1.554,1.0101
09020-56774-GU,Marie-jeanne Redgrave,mredgrave32@cargocollective.com,+1 (413) 691-2892,61022 Helena Street,Springfield,United States,1105,Yes,BRB-40903-533,6/15/2022,E-L-0.2,3,Exc,L,0.2,4.455,2.2275,0.49005
92926-08470-YS,Betty Fominov,bfominov33@yale.edu,,305 Tennyson Court,Pensacola,United States,32575,No,GPR-19973-483,6/26/2019,R-D-0.5,5,Rob,D,0.5,5.37,1.074,0.3222
07250-63194-JO,Shawnee Critchlow,scritchlow34@un.org,+1 (804) 428-7292,6886 Oxford Hill,Richmond,United States,23242,No,XIY-43041-882,10/12/2021,A-M-1,1,Ara,M,1,11.25,1.125,1.0125
63787-96257-TQ,Merrel Steptow,msteptow35@earthlink.net,+353 (266) 235-5189,368 Ridgeview Trail,Cherryville,Ireland,P31,No,YGY-98425-969,4/1/2019,L-M-1,1,Lib,M,1,14.55,1.455,1.8915
49530-25460-RW,Carmina Hubbuck,,+1 (304) 532-7229,39749 Bobwhite Plaza,Huntington,United States,25705,No,MSB-08397-648,3/10/2021,R-L-0.2,4,Rob,L,0.2,3.585,1.7925,0.2151
66508-21373-OQ,Ingeberg Mulliner,imulliner37@pinterest.com,+44 (331) 777-9556,61 Oak Valley Trail,Birmingham,United Kingdom,B40,No,WDR-06028-345,8/16/2019,L-L-1,1,Lib,L,1,15.85,1.585,2.0605
20203-03950-FY,Geneva Standley,gstandley38@dion.ne.jp,+353 (521) 138-4331,4 Thompson Drive,Killorglin,Ireland,H14,Yes,MXM-42948-061,8/11/2020,L-L-0.2,4,Lib,L,0.2,4.755,2.3775,0.61815
83895-90735-XH,Brook Drage,bdrage39@youku.com,+1 (937) 566-3449,3584 7th Parkway,Dayton,United States,45432,No,MGQ-98961-173,4/5/2022,L-L-0.5,4,Lib,L,0.5,9.51,1.902,1.2363
